,Recency,Frequency,MonetaryValue
886,0.9255865762073103,3.2848572756856327,4.573159694729156
887,1.9909453581666336,2.2856589512468943,4.222245227545706
888,0.0,3.514019269848884,4.6554430026558205
889,0.0,3.143252272902844,4.526190087115189
890,1.44663015206378,2.732703839534701,4.374299256268439
891,0.0,3.3873492216316277,4.61130928748527
892,1.8082732744937313,2.8399748979897472,4.41863521420692
893,0.0,3.4160197724488692,4.622167456013499
894,0.6213590741691385,2.2856589512468943,4.209742168045121
895,0.0,3.5486476243766467,4.667778488538351
896,0.0,3.314329374545579,4.5878056435706345
897,2.2263456217360815,2.5068399164937953,4.307004436950242
898,1.44663015206378,3.1936335851866833,4.543539905582976
899,1.25652123774629,2.7116578400264393,4.368690618113687
900,0.0,3.159822257210208,4.530590018559892
901,1.941821840847215,2.7527105261810676,4.387935843129449
902,0.0,3.196543857943296,4.543065509048317
903,2.019396474556289,2.732703839534701,4.369505244047508
904,1.8350209313611412,2.653773954888939,4.351733795187618
905,1.6716984796216534,2.666016315519476,4.349888523730097
906,0.0,3.22696844713277,4.553873330810886
907,0.0,2.942339113056565,4.459953998968641
908,1.6716984796216534,2.430712104285438,4.279040526402196
909,1.5757968029727956,2.8477216491646478,4.411690997057203
910,0.6213590741691385,3.0633190347071957,4.499025099295421
911,0.6213590741691385,2.789957724754505,4.396801037683908
912,0.9255865762073103,3.184746519402401,4.53589470912599
913,2.1680721696988865,2.363826404539971,4.263617668294656
914,2.079403541572624,2.430712104285438,4.274264249900781
915,0.0,3.504647141528857,4.654238854579436
916,1.9035957605304523,2.586568337832554,4.319307573467761
917,0.0,3.0840868504024708,4.498962934662315
918,0.0,3.3727490325364866,4.605906159469427
919,0.0,2.430712104285438,4.264585805131895
920,0.0,3.1112292693835735,4.512998731146327
921,0.9255865762073103,3.1693872881652814,4.531641436689902
922,0.0,2.942339113056565,4.448593643344502
923,0.0,2.987299191651989,4.467254900744666
924,1.1186164189258903,2.540503677453809,4.308718790196077
925,1.8350209313611412,2.2856589512468943,4.204287571161791
926,1.1186164189258903,3.146631756544,4.527969451637439
927,1.3620816971432665,2.540503677453809,4.304772095117306
928,1.25652123774629,2.7527105261810676,4.3801519491301635
929,0.6213590741691385,2.8700707397029777,4.425682434753993
930,0.0,2.8553163146782805,4.411811648827458
931,1.25652123774629,3.410208758767311,4.617544968187367
932,0.0,3.3123134994043775,4.589572617108837
933,0.6213590741691385,3.2914087877541474,4.578681076234848
934,1.711397276264926,2.641161988802563,4.348207939889375
