,Recency,Frequency,MonetaryValue
796,0,2.43071210428544,4.26522803163212
797,0.621359074169139,3.40726006198388,4.61906467485098
798,2.15279118281497,2.38722115480205,4.2501271138993
799,0.621359074169139,2.4703943506342,4.28137620119335
800,0,2.43071210428544,4.26902875580399
801,0,2.94826791591014,4.45150420953965
802,0.92558657620731,2.55640998033665,4.30896215829211
803,0,3.52009799293784,4.65816755603319
804,0,3.45377226976078,4.6354855564001
805,0,3.20793548780477,4.5476838558291
806,0,3.35033725343019,4.59658565970257
807,2.1364379657294,2.36382640453997,4.25291575397301
808,1.88242786144034,2.28565895124689,4.21107905793868
809,1.74694900722549,2.43071210428544,4.2760720862571
810,1.77905918375904,2.31318239505762,4.21718276525314
811,0,2.28565895124689,4.21718276525314
812,2.00554695826155,2.48899094218723,4.29550892939205
813,1.71139727626493,2.58656833783255,4.31816636954374
814,0,3.31028454931281,4.58321515433876
815,1.11861641892589,2.40948410280738,4.27027604118156
816,1.77905918375904,2.600888514294,4.3432435851808
817,1.36208169714327,2.31318239505762,4.23349758915178
818,1.88242786144034,2.4703943506342,4.28281881004155
819,1.25652123774629,2.31318239505762,4.2205745187261
820,1.44663015206378,2.86276430115562,4.42524562462433
821,1.97551684388148,2.40948410280738,4.26934148273194
822,1.25652123774629,3.31432937454558,4.5842752370818
823,0,2.28565895124689,4.21931056049483
824,0,3.22164231293669,4.55347869291616
825,0,3.12938839504237,4.52021891962718
826,0.621359074169139,2.4703943506342,4.28650947383016
827,0,3.08809655839599,4.50626791256264
828,1.51655840962615,2.87724050406048,4.42370568967625
829,0,3.09598011055286,4.50836066446827
830,1.5757968029728,2.93631422907424,4.44831747425667
831,2.16807216969889,2.40948410280738,4.27547173594463
832,0,3.44608233953142,4.62980210081096
833,1.44663015206378,2.79874869113603,4.40024943700692
834,0,3.08003056418242,4.50191239200856
835,1.25652123774629,2.76235293053311,4.4005112287926
836,1.62692001354653,2.72231691163331,4.3758626171239
837,1.25652123774629,3.0412508197826,4.48634849915146
838,1.80827327449373,2.82400201418193,4.41817530929313
839,0,3.33755365204332,4.5963967926942
840,1.94182184084722,2.52399479064511,4.31041439278122
841,0,2.45099039392939,4.28453285356546
842,1.44663015206378,3.35033725343019,4.59945890531751
843,0.621359074169139,2.9819711059824,4.46467669998023
844,0.92558657620731,2.52399479064511,4.29969375702521
845,0,3.58499883874799,4.68162835121247
846,0.621359074169139,3.22431622900401,4.55220676233131
847,0,3.23479809844213,4.55679103615971
848,0.92558657620731,2.36382640453997,4.24729034080816
849,0.621359074169139,2.7717686141562,4.3957227836363
850,0.621359074169139,3.35915306386447,4.59919602549475
851,1.5757968029728,2.75271052618107,4.3897819818033
852,2.16055789176348,2.66601631551948,4.35748862702265
853,0,3.37274903253649,4.60284511369343
854,1.67169847962165,2.36382640453997,4.2480041301912
855,2.15279118281497,2.43071210428544,4.2790405264022
856,0,2.33918920084131,4.24906904636923
857,1.44663015206378,2.31318239505762,4.21546109421483
858,1.25652123774629,2.64116198880256,4.3401045461448
859,0,2.92396446534514,4.44683479908557
860,0,2.68946859753871,4.35993741406127
861,0,3.27133426663909,4.5667925036168
862,0,3.09985581766469,4.50962229884986
863,0,3.47918316730964,4.64349675934747
864,0,2.89118831717872,4.44083095590804
865,2.11887291109497,2.28565895124689,4.22716027001504
